batch_idx,in_batch_idx,dice,iou,hausdorff
0,0,0.9031935930252075,0.8234758973121643,8.94427190999916
0,1,0.9221243262290955,0.8555015325546265,6.708203932499369
0,2,0.922336757183075,0.855867326259613,12.649110640673518
0,3,0.8973706364631653,0.8138461709022522,19.924858845171276
0,4,0.8974117040634155,0.8139136433601379,23.600847442411894
0,5,0.9228324294090271,0.8567212820053101,12.727922061357855
0,6,0.9230239391326904,0.8570514917373657,9.433981132056603
0,7,0.9268375039100647,0.8636506199836731,7.0
0,8,0.9143325090408325,0.8421846628189087,16.278820596099706
0,9,0.8918190002441406,0.8047593235969543,18.110770276274835
0,10,0.9018619656562805,0.8212646842002869,16.1245154965971
0,11,0.8945799469947815,0.809266984462738,16.76305461424021
0,12,0.8834731578826904,0.791269063949585,17.26267650163207
0,13,0.8679693937301636,0.766736626625061,17.46424919657298
0,14,0.8328043818473816,0.7135087847709656,19.697715603592208
0,15,0.8581852316856384,0.7515975832939148,18.681541692269406
1,0,0.8847090005874634,0.7932539582252502,18.110770276274835
1,1,0.9054112434387207,0.8271702527999878,17.26267650163207
1,2,0.901760458946228,0.8210963606834412,17.0
1,3,0.8972783088684082,0.8136942386627197,17.11724276862369
1,4,0.893710732460022,0.8078454732894897,17.46424919657298
1,5,0.8974760174751282,0.8140194416046143,17.26267650163207
1,6,0.8842105269432068,0.7924528121948242,16.1245154965971
1,7,0.882057249546051,0.789000391960144,16.55294535724685
1,8,0.906872034072876,0.8296119570732117,17.88854381999832
1,9,0.9106484055519104,0.8359545469284058,18.788294228055936
1,10,0.9125466346740723,0.8391593098640442,19.697715603592208
1,11,0.9185905456542969,0.8494381904602051,20.808652046684813
1,12,0.9035345911979675,0.8240429759025574,20.808652046684813
1,13,0.9185371994972229,0.8493469953536987,38.01315561749642
1,14,0.9236835241317749,0.858189582824707,39.11521443121589
1,15,0.9181293845176697,0.8486499190330505,40.22437072223753
2,0,0.9221664667129517,0.8555741310119629,41.340053217188775
2,1,0.9175702333450317,0.8476949334144592,41.10960958218893
2,2,0.9075257778167725,0.830706775188446,41.012193308819754
2,3,0.8916055560112,0.804411768913269,38.28837943815329
2,4,0.8995270133018494,0.817400336265564,35.35533905932738
2,5,0.8994356989860535,0.8172495365142822,34.713109915419565
2,6,0.8991682529449463,0.8168080449104309,31.89043743820395
2,7,0.8991658091545105,0.816804051399231,30.479501308256342
2,8,0.8977504968643188,0.8144712448120117,31.11269837220809
2,9,0.8865170478820801,0.7961657643318176,30.083217912982647
2,10,0.9175615310668945,0.8476800918579102,8.0
2,11,0.9282232522964478,0.866060197353363,8.94427190999916
2,12,0.9271312355995178,0.8641608953475952,9.0
2,13,0.9205182790756226,0.8527409434318542,10.0
2,14,0.9203829169273376,0.8525086641311646,7.0710678118654755
2,15,0.9241136908531189,0.8589324355125427,6.708203932499369
3,0,0.9437363743782043,0.8934667706489563,6.708203932499369
3,1,0.9492402076721191,0.9033846259117126,6.082762530298219
3,2,0.9542974233627319,0.9125896692276001,6.0
3,3,0.9342793226242065,0.8766643404960632,5.0
3,4,0.9118034243583679,0.8379032015800476,5.830951894845301
3,5,0.9386562705039978,0.884403645992279,3.1622776601683795
3,6,0.933684229850769,0.8756169676780701,4.0
3,7,0.9417304396629333,0.8898776173591614,3.0
3,8,0.9504950642585754,0.9056603908538818,16.278820596099706
3,9,0.9399350881576538,0.8866768479347229,3.605551275463989
3,10,0.8536585569381714,0.7446808218955994,5.0
3,11,0.9103942513465881,0.8355262875556946,2.23606797749979
3,12,0.8977272510528564,0.8144329786300659,2.0
3,13,0.800000011920929,0.6666666865348816,1.4142135623730951
3,14,0.3750000298023224,0.23076926171779633,3.0
3,15,7.352941366889354e-09,7.352941366889354e-09,42.7551166528639
4,0,0.23645320534706116,0.1340782195329666,40.792156108742276
4,1,0.6358974575996399,0.4661654233932495,19.72308292331602
4,2,0.6545454263687134,0.4864864945411682,18.867962264113206
4,3,0.5670886039733887,0.3957597315311432,21.633307652783937
4,4,0.8213740587234497,0.696891188621521,5.385164807134504
4,5,0.8657718300819397,0.7633135914802551,4.47213595499958
4,6,0.8920726180076599,0.8051724433898926,9.0
4,7,0.8956661224365234,0.8110465407371521,4.0
4,8,0.9010339975357056,0.8198924660682678,4.0
4,9,0.9053857326507568,0.8271276354789734,4.242640687119285
4,10,0.9432878494262695,0.8926630616188049,3.605551275463989
4,11,0.9346733689308167,0.8773584961891174,2.8284271247461903
4,12,0.9377651810646057,0.8828229308128357,2.8284271247461903
4,13,0.9192546606063843,0.8505747318267822,3.605551275463989
4,14,0.8681396842002869,0.767002522945404,5.0
