batch_idx,in_batch_idx,dice,iou,hausdorff
0,0,0.9008783102035522,0.8196346759796143,8.48528137423857
0,1,0.9096167683601379,0.8342174887657166,8.48528137423857
0,2,0.9106481671333313,0.8359541296958923,13.0
0,3,0.8964785933494568,0.8123798370361328,20.248456731316587
0,4,0.8976109027862549,0.8142414689064026,24.758836806279895
0,5,0.9123931527137756,0.8388997912406921,12.727922061357855
0,6,0.9140584468841553,0.8417197465896606,11.40175425099138
0,7,0.9190829396247864,0.8502807021141052,8.48528137423857
0,8,0.9099187254905701,0.834725558757782,16.76305461424021
0,9,0.8893851637840271,0.8008043169975281,15.297058540778355
0,10,0.9036228656768799,0.8241898417472839,16.0312195418814
0,11,0.9008620977401733,0.8196078538894653,15.0
0,12,0.864642322063446,0.7615593671798706,43.56604182158393
0,13,0.8685433864593506,0.7676329612731934,43.382023926967726
0,14,0.8561473488807678,0.7484769225120544,18.973665961010276
0,15,0.8791868686676025,0.7844188213348389,17.88854381999832
1,0,0.8941073417663574,0.8084937334060669,18.681541692269406
1,1,0.9101099371910095,0.8350474834442139,18.0
1,2,0.9028124809265137,0.8228424191474915,17.0
1,3,0.8995068669319153,0.8173670768737793,17.029386365926403
1,4,0.8997699618339539,0.8178016543388367,17.11724276862369
1,5,0.903598427772522,0.8241491317749023,16.76305461424021
1,6,0.892998993396759,0.8066830635070801,15.652475842498529
1,7,0.9030852317810059,0.8232957124710083,16.15549442140351
1,8,0.9180098176002502,0.8484455943107605,30.083217912982647
1,9,0.9145050644874573,0.8424775004386902,29.832867780352597
1,10,0.9170202612876892,0.846756637096405,27.202941017470888
1,11,0.9314278960227966,0.8716565370559692,20.12461179749811
1,12,0.9215000867843628,0.8544275760650635,20.808652046684813
1,13,0.9253507256507874,0.8610722422599792,37.44329045369811
1,14,0.9290143251419067,0.867438554763794,38.8329756778952
1,15,0.925015926361084,0.8604926466941833,40.0
2,0,0.9229779839515686,0.8569722771644592,41.048751503547585
2,1,0.9187989830970764,0.8497947454452515,41.10960958218893
2,2,0.9171941876411438,0.8470532298088074,40.311288741492746
2,3,0.8895838856697083,0.8011265993118286,38.2099463490856
2,4,0.9048094749450684,0.8261662721633911,35.35533905932738
2,5,0.9044806361198425,0.8256180882453918,34.713109915419565
2,6,0.9022403359413147,0.8218923807144165,31.89043743820395
2,7,0.903705894947052,0.8243279457092285,30.4138126514911
2,8,0.9028787612915039,0.8229525685310364,31.11269837220809
2,9,0.8978068232536316,0.8145639300346375,30.083217912982647
2,10,0.9268612861633301,0.8636919260025024,7.0
2,11,0.9336460828781128,0.8755499720573425,8.0
2,12,0.9307000637054443,0.8703826069831848,8.0
2,13,0.9271574020385742,0.8642063736915588,9.899494936611665
2,14,0.9217838048934937,0.8549155592918396,7.0710678118654755
2,15,0.9258716702461243,0.8619748950004578,6.708203932499369
3,0,0.9448769688606262,0.8955135941505432,6.708203932499369
3,1,0.9488010406494141,0.9025893807411194,6.082762530298219
3,2,0.9524135589599609,0.9091503024101257,6.0
3,3,0.935171365737915,0.8782365322113037,5.0990195135927845
3,4,0.9069254398345947,0.8297013640403748,6.708203932499369
3,5,0.932941734790802,0.8743119239807129,3.1622776601683795
3,6,0.9281594157218933,0.8659490942955017,5.0
3,7,0.9366940259933472,0.8809261322021484,4.0
3,8,0.9530112743377686,0.9102401733398438,16.278820596099706
3,9,0.92166668176651,0.854714035987854,5.0
3,10,0.8632707595825195,0.7594339847564697,5.0
3,11,0.8965517282485962,0.8125,2.8284271247461903
3,12,0.8631578683853149,0.7592592835426331,2.0
3,13,0.7076923251152039,0.5476190447807312,2.0
3,14,0.5000000596046448,0.3333333432674408,2.23606797749979
3,15,0.07486631721258163,0.03888889402151108,44.721359549995796
4,0,0.2008032202720642,0.1116071492433548,42.20189569201838
4,1,0.485049843788147,0.320175439119339,36.069377593742864
4,2,0.5243242979049683,0.3553113639354706,36.124783736376884
4,3,0.535469114780426,0.3656249940395355,31.38470965295043
4,4,0.8233576416969299,0.6997518539428711,29.154759474226502
4,5,0.8300577998161316,0.709486186504364,26.248809496813376
4,6,0.8861788511276245,0.7956204414367676,9.0
4,7,0.891105592250824,0.8035982251167297,2.8284271247461903
4,8,0.8866768479347229,0.7964236736297607,4.242640687119285
4,9,0.8957239389419556,0.811141312122345,4.242640687119285
4,10,0.9184423089027405,0.8491848111152649,4.242640687119285
4,11,0.9197080135345459,0.8513513803482056,3.0
4,12,0.9288281798362732,0.8671140670776367,3.0
4,13,0.903954803943634,0.8247422575950623,4.123105625617661
4,14,0.8154311776161194,0.6883780360221863,5.0990195135927845
4,15,0.8184019327163696,0.6926229596138,11.661903789690601
5,0,0.8478803038597107,0.7359307408332825,12.083045973594572
5,1,0.9204864501953125,0.8526862859725952,3.1622776601683795
5,2,0.9209302067756653,0.8534482717514038,29.068883707497267
5,3,0.8916967511177063,0.8045602440834045,29.410882339705484
5,4,0.8766603469848633,0.7804054021835327,29.732137494637012
5,5,0.8782435059547424,0.7829181551933289,28.792360097775937
5,6,0.868937075138092,0.7682482004165649,29.546573405388315
5,7,0.7794561982154846,0.6386138796806335,32.64965543462902
5,8,0.6680327653884888,0.5015384554862976,38.62641583165593
5,9,0.6418604850769043,0.4726027250289917,37.69615364994153
5,10,0.5750635862350464,0.4035714268684387,21.095023109728988
5,11,0.7172264456748962,0.5591216087341309,12.806248474865697
5,12,0.763557493686676,0.6175438761711121,9.433981132056603
5,13,0.7670329809188843,0.6221033930778503,6.082762530298219
5,14,0.8454746007919312,0.7323135733604431,5.0
